COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
0,4371.79,4006.67,4340,4128.21,4071.28,3601.03,4441.03,4444.1,4767.18,4525.13,4541.03,4338.46,4278.46,3878.46,1654,1691,1.043,0,0,0,0,
1,4376.92,4006.67,4337.95,4135.9,4072.31,3601.03,4439.49,4441.54,4765.13,4518.97,4536.92,4334.87,4272.31,3874.87,1655,1691,1.05,0,0,0,0,
2,4381.03,4011.79,4341.03,4142.05,4078.46,3605.64,4442.05,4450.77,4770.26,4520,4538.46,4340.51,4275.38,3882.05,1654,1690,1.058,0,0,0,0,
3,4383.59,4015.38,4343.59,4140,4077.44,3607.18,4438.46,4458.97,4781.03,4525.64,4552.82,4345.13,4283.59,3894.36,1655,1691,1.066,0,0,0,0,
4,4384.1,4011.28,4341.54,4135.9,4074.36,3601.03,4429.74,4451.79,4778.97,4526.15,4552.31,4341.03,4283.59,3892.82,1654,1691,1.074,0,0,0,0,
5,4383.08,4007.69,4340.51,4132.82,4076.41,3600,4428.72,4444.1,4766.67,4524.62,4538.97,4342.05,4281.03,3882.56,1655,1690,1.083,0,0,0,0,
6,4375.9,4004.1,4335.38,4128.72,4071.28,3603.59,4428.21,4442.56,4762.56,4516.41,4535.9,4337.95,4272.82,3875.9,1655,1690,1.09,0,0,0,0,
7,4373.33,3997.95,4333.33,4122.05,4064.62,3595.38,4420.51,4438.46,4764.62,4509.23,4536.92,4327.18,4264.1,3875.9,1656,1691,1.097,0,0,0,0,
8,4380.51,3996.92,4342.56,4120.51,4068.21,3587.69,4420,4432.82,4763.08,4514.87,4537.44,4331.28,4268.21,3878.97,1655,1690,1.105,0,0,0,0,
9,4380.51,4003.08,4338.97,4125.64,4074.36,3598.46,4427.18,4434.87,4761.54,4516.92,4538.97,4337.95,4272.31,3880,1655,1691,1.113,0,0,0,0,
10,4374.36,4006.15,4325.13,4127.18,4074.36,3606.15,4426.15,4438.97,4765.13,4508.72,4534.87,4330.77,4267.69,3880,1657,1691,1.121,0,0,0,0,
11,4368.21,3995.9,4323.08,4123.08,4067.18,3595.9,4415.9,4434.36,4762.56,4506.15,4525.13,4320.51,4263.08,3877.44,1655,1692,1.129,0,0,0,0,
12,4363.08,3989.74,4324.1,4118.97,4060,3587.18,4410.77,4426.67,4755.9,4507.69,4521.03,4318.97,4261.03,3870.77,1656,1692,1.136,0,0,0,0,
13,4367.69,3998.97,4322.05,4117.95,4055.9,3588.21,4413.33,4430.77,4759.49,4507.18,4529.23,4322.56,4261.03,3870.77,1654,1691,1.144,0,0,0,0,
14,4381.03,4007.18,4332.31,4125.13,4061.54,3590.26,4414.87,4441.03,4768.72,4508.72,4536.41,4327.69,4265.13,3879.49,1655,1691,1.152,0,0,0,0,
15,4383.08,4005.13,4337.44,4133.33,4069.23,3590.26,4414.87,4438.97,4768.72,4510.77,4531.28,4326.67,4266.15,3880,1654,1690,1.16,0,0,0,0,
16,4375.38,4002.05,4328.72,4127.18,4066.67,3587.18,4413.33,4430.26,4757.44,4506.67,4521.54,4320,4262.05,3874.36,1654,1692,1.168,0,0,0,0,
17,4378.97,4004.1,4332.82,4117.95,4062.05,3587.18,4413.33,4426.15,4749.23,4503.59,4523.08,4326.67,4264.62,3877.44,1654,1691,1.176,0,0,0,0,
18,4384.62,4004.1,4344.62,4120.51,4063.08,3589.74,4415.38,4430.26,4753.85,4503.08,4532.31,4333.33,4266.67,3882.05,1655,1692,1.183,0,0,0,0,
19,4381.03,4001.54,4340,4124.62,4059.49,3589.74,4413.85,4440,4766.15,4506.67,4535.9,4331.28,4266.15,3881.03,1654,1691,1.191,0,0,0,0,
20,4378.97,4002.56,4334.36,4124.62,4061.03,3588.72,4413.85,4442.56,4769.74,4511.28,4536.41,4332.82,4271.79,3882.05,1655,1693,1.199,0,0,0,0,
21,4380,4002.56,4338.46,4123.08,4071.28,3588.72,4413.85,4435.38,4764.1,4509.74,4535.9,4335.38,4273.85,3881.54,1656,1691,1.208,0,0,0,0,
22,4378.97,3998.46,4340.51,4120.51,4068.72,3586.67,4408.72,4428.72,4758.97,4506.67,4531.28,4328.72,4266.67,3880,1654,1692,1.215,0,0,0,0,
23,4380,3997.44,4339.49,4126.15,4059.49,3587.18,4405.13,4424.62,4759.49,4508.21,4523.08,4322.56,4263.08,3880,1657,1693,1.222,0,0,0,0,
